experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,82782.125,69651.664,182.22845,69651.664,47.304688,139.09375,89.0703125,3.7890625
"host+('guest_1', 'guest_2', 'guest_3')",1,2,79926.37,69481.43,181.91823,69481.43,73.203125,191.125,125.2265625,51.484375
"host+('guest_1', 'guest_2', 'guest_3')",1,3,79576.82,69308.164,181.60008,69308.164,89.625,252.1015625,158.0234375,85.7890625
"host+('guest_1', 'guest_2', 'guest_3')",1,4,81094.805,69124.266,181.25842,69124.266,112.859375,333.7890625,203.3984375,125.2265625
"host+('guest_1', 'guest_2', 'guest_3')",1,5,81814.914,68923.46,180.88449,68923.46,128.375,373.9375,255.03125,173.734375
"host+('guest_1', 'guest_2', 'guest_3')",1,6,86696.68,68700.35,180.46687,68700.35,152.03125,489.71875,298.8203125,215.515625
"host+('guest_1', 'guest_2', 'guest_3')",1,7,88992.13,68447.45,180.00072,68447.45,177.3125,562.59375,364.2421875,284.8671875
"host+('guest_1', 'guest_2', 'guest_3')",1,8,79682.164,68162.52,179.48216,68162.52,194.39062,683.109375,440.0,328.296875
"host+('guest_1', 'guest_2', 'guest_3')",1,9,85292.52,67847.38,178.90973,67847.38,221.70312,768.453125,490.0,399.90625
"host+('guest_1', 'guest_2', 'guest_3')",1,10,81527.93,67494.98,178.27444,67494.98,258.7422,900.484375,574.140625,466.328125
"host+('guest_1', 'guest_2', 'guest_3')",1,11,77984.61,67098.07,177.56401,67098.07,284.53906,1025.9375,682.171875,559.4296875
"host+('guest_1', 'guest_2', 'guest_3')",1,12,83504.234,66662.54,176.78499,66662.54,348.4297,1160.2890625,790.5546875,640.8359375
"host+('guest_1', 'guest_2', 'guest_3')",1,13,81765.375,66169.34,175.90543,66169.34,373.3672,1310.2890625,915.3046875,735.296875
"host+('guest_1', 'guest_2', 'guest_3')",1,14,83513.67,65609.02,174.91507,65609.02,447.10938,1463.90625,1021.75,847.96875
"host+('guest_1', 'guest_2', 'guest_3')",1,15,79428.95,64982.73,173.80743,64982.73,482.73438,1678.67578125,1190.90234375,971.18359375
"host+('guest_1', 'guest_2', 'guest_3')",1,16,78408.555,64303.566,172.60332,64303.566,548.71875,1884.25390625,1329.07421875,1112.36328125
"host+('guest_1', 'guest_2', 'guest_3')",1,17,76146.875,63558.355,171.27757,63558.355,623.33203,2076.59765625,1526.33203125,1267.4375
"host+('guest_1', 'guest_2', 'guest_3')",1,18,76183.25,62741.75,169.84303,62741.75,661.46094,2359.43359375,1730.625,1416.78125
"host+('guest_1', 'guest_2', 'guest_3')",1,19,85705.336,61849.76,168.31963,61849.76,778.5508,2641.36328125,1915.02734375,1583.04296875
"host+('guest_1', 'guest_2', 'guest_3')",1,20,73883.45,60850.723,166.68027,60850.723,870.16016,2816.8828125,2179.75,1738.6640625
"host+('guest_1', 'guest_2', 'guest_3')",1,21,69010.625,59803.523,164.97514,59803.523,970.10156,3111.78125,2354.92578125,1903.12109375
"host+('guest_1', 'guest_2', 'guest_3')",1,22,73155.79,58717.004,163.20633,58717.004,1059.0586,3434.4296875,2680.21484375,2018.51171875
"host+('guest_1', 'guest_2', 'guest_3')",1,23,70972.88,57539.91,161.35153,57539.91,1181.9141,3750.87109375,2882.85546875,2213.24609375
"host+('guest_1', 'guest_2', 'guest_3')",1,24,72020.93,56277.934,159.38043,56277.934,1301.0625,4105.796875,3131.50390625,2459.30078125
"host+('guest_1', 'guest_2', 'guest_3')",1,25,67278.5,54920.695,157.31432,54920.695,1466.2422,4397.6328125,3302.40234375,2606.7578125
"host+('guest_1', 'guest_2', 'guest_3')",1,26,73954.3,53500.406,155.14339,53500.406,1627.5039,4767.48046875,3700.93359375,2924.1953125
"host+('guest_1', 'guest_2', 'guest_3')",1,27,63212.65,51979.625,152.81952,51979.625,1715.0391,4962.75390625,4095.4140625,3173.5859375
