experiment,repetition,round,training_loss,test_mse,test_mae,baseline_ablation_mse,ablation_host,ablation_guest_1,ablation_guest_2,ablation_guest_3
"host+('guest_1', 'guest_2', 'guest_3')",1,1,159399.11,144870.3,297.7943,144870.3,29.3125,161.359375,235.90625,38.765625
"host+('guest_1', 'guest_2', 'guest_3')",1,2,165893.08,144465.2,297.30728,144465.2,106.8125,254.90625,371.390625,132.140625
"host+('guest_1', 'guest_2', 'guest_3')",1,3,158167.97,144027.95,296.78043,144027.95,193.35938,383.671875,522.03125,208.4375
"host+('guest_1', 'guest_2', 'guest_3')",1,4,169162.92,143546.14,296.1986,143546.14,294.65625,514.703125,698.875,281.546875
"host+('guest_1', 'guest_2', 'guest_3')",1,5,156543.33,142993.11,295.52853,142993.11,409.71875,651.859375,841.671875,389.578125
"host+('guest_1', 'guest_2', 'guest_3')",1,6,215465.9,142366.33,294.7665,142366.33,520.4844,841.078125,1033.90625,520.390625
"host+('guest_1', 'guest_2', 'guest_3')",1,7,176218.83,141630.12,293.86655,141630.12,667.4375,1074.5,1269.421875,662.40625
"host+('guest_1', 'guest_2', 'guest_3')",1,8,156087.72,140791.12,292.8386,140791.12,842.8281,1309.546875,1523.453125,773.171875
"host+('guest_1', 'guest_2', 'guest_3')",1,9,152733.0,139839.14,291.6861,139839.14,1015.9219,1590.28125,1868.9375,944.40625
"host+('guest_1', 'guest_2', 'guest_3')",1,10,157610.14,138745.17,290.3872,138745.17,1189.0469,1882.125,2189.25,1150.4375
"host+('guest_1', 'guest_2', 'guest_3')",1,11,164802.16,137451.98,288.84296,137451.98,1438.3438,2206.28125,2550.53125,1356.09375
"host+('guest_1', 'guest_2', 'guest_3')",1,12,170347.0,135957.3,287.04797,135957.3,1758.875,2756.609375,3052.359375,1620.765625
"host+('guest_1', 'guest_2', 'guest_3')",1,13,152275.52,134236.31,284.96814,134236.31,2103.9062,3155.640625,3596.03125,1900.703125
"host+('guest_1', 'guest_2', 'guest_3')",1,14,151272.67,132288.39,282.62244,132288.39,2443.0781,3712.890625,4168.765625,2223.0
"host+('guest_1', 'guest_2', 'guest_3')",1,15,155283.86,130112.0,280.00784,130112.0,2915.7812,4214.171875,4780.21875,2480.46875
"host+('guest_1', 'guest_2', 'guest_3')",1,16,140385.66,127657.32,277.04236,127657.32,3461.414,4881.4765625,5457.5703125,2791.0625
"host+('guest_1', 'guest_2', 'guest_3')",1,17,144502.67,124934.86,273.73218,124934.86,4022.3047,5559.3515625,6209.21875,3339.1640625
"host+('guest_1', 'guest_2', 'guest_3')",1,18,138223.58,121879.45,269.9556,121879.45,4710.9844,6366.265625,6924.796875,3747.0546875
"host+('guest_1', 'guest_2', 'guest_3')",1,19,145256.02,118561.67,265.81705,118561.67,5308.383,7220.3671875,7804.4609375,4099.7734375
"host+('guest_1', 'guest_2', 'guest_3')",1,20,136769.56,114918.61,261.32626,114918.61,6232.9844,7722.015625,8719.3671875,4605.1953125
"host+('guest_1', 'guest_2', 'guest_3')",1,21,130545.01,111013.75,256.50403,111013.75,7248.242,9232.3984375,9779.265625,5066.2890625
"host+('guest_1', 'guest_2', 'guest_3')",1,22,131361.53,106999.12,251.43764,106999.12,8255.789,9938.0390625,10352.1953125,5435.453125
"host+('guest_1', 'guest_2', 'guest_3')",1,23,112017.63,102811.58,246.16629,102811.58,9654.93,10639.7265625,11563.6015625,5965.7421875
"host+('guest_1', 'guest_2', 'guest_3')",1,24,111390.86,98532.66,240.78339,98532.66,10691.18,11273.875,11912.875,6189.8125
"host+('guest_1', 'guest_2', 'guest_3')",1,25,107651.516,94137.84,235.28098,94137.84,11852.047,12176.078125,12534.625,6515.0546875
"host+('guest_1', 'guest_2', 'guest_3')",1,26,102086.26,89643.18,229.5708,89643.18,13439.656,12075.171875,13362.9453125,6846.8046875
"host+('guest_1', 'guest_2', 'guest_3')",1,27,106311.48,85154.25,223.95435,85154.25,15066.5625,12786.265625,13865.4375,6607.9453125
"host+('guest_1', 'guest_2', 'guest_3')",1,28,91178.57,80659.695,218.23805,80659.695,16726.57,12962.96875,14063.828125,6786.5
"host+('guest_1', 'guest_2', 'guest_3')",1,29,92913.125,76512.3,212.94362,76512.3,18384.719,13516.3828125,14559.578125,6758.3984375
"host+('guest_1', 'guest_2', 'guest_3')",1,30,81597.83,72472.91,207.57954,72472.91,20463.5,12892.53125,14716.1875,6627.4609375
"host+('guest_1', 'guest_2', 'guest_3')",1,31,80332.24,68768.42,202.32617,68768.42,22398.46,13399.234375,14064.703125,6238.765625
"host+('guest_1', 'guest_2', 'guest_3')",1,32,77742.15,65359.69,197.37448,65359.69,24315.168,12746.87109375,13205.23828125,5115.92578125
"host+('guest_1', 'guest_2', 'guest_3')",1,33,79234.19,62224.902,192.62231,62224.902,26340.02,12011.30859375,12747.41796875,5201.31640625
"host+('guest_1', 'guest_2', 'guest_3')",1,34,67514.61,59236.5,187.86127,59236.5,29431.773,11241.5546875,12991.0625,4472.3515625
"host+('guest_1', 'guest_2', 'guest_3')",1,35,67495.58,56522.258,183.46442,56522.258,31090.602,10470.625,13553.1875,3689.40234375
"host+('guest_1', 'guest_2', 'guest_3')",1,36,64510.312,53884.324,179.12073,53884.324,34160.49,9554.34765625,11916.83203125,3376.01953125
"host+('guest_1', 'guest_2', 'guest_3')",1,37,61302.277,51263.01,174.71469,51263.01,36358.723,9195.28515625,11577.90625,2813.65234375
"host+('guest_1', 'guest_2', 'guest_3')",1,38,68180.234,48672.184,170.28581,48672.184,39228.168,9119.51171875,11621.83984375,3033.6328125
"host+('guest_1', 'guest_2', 'guest_3')",1,39,51490.707,45939.008,165.58708,45939.008,41167.29,9642.42578125,11755.43359375,2781.41796875
"host+('guest_1', 'guest_2', 'guest_3')",1,40,50280.68,43367.465,160.89305,43367.465,43231.34,7728.94140625,12070.03515625,2289.7109375
"host+('guest_1', 'guest_2', 'guest_3')",1,41,48561.215,40825.42,156.02824,40825.42,46335.695,8672.4921875,12595.85546875,2415.2265625
"host+('guest_1', 'guest_2', 'guest_3')",1,42,43854.727,38240.15,150.8945,38240.15,48372.42,7457.87109375,11291.08203125,2125.70703125
